paper,rows,action,rule,reason
jallcom.2013.04.183,4,rescaled,Jc x 10,"the ordinate is a linear axis in units of 1e4 A/cm2 and the deposit records the bare numbers, so every value is a decade low. audit/reclamation_status_20260904.md records the page read independently and matching to under 2 per cent, so this is a traced repair rather than a rule on file."
physc.2009.05.098,9,rescaled,H / 10,"the printed field axis is kilo-oersted, and all nine readings track the printed curves with each series ending where its curve does. The same correction withdrew this paper's field-axis fits on 2026-09-05, on the separate ground that its 86 T literature anchor does not scale with the axis"
s41598-025-24806-x,2,rescaled,H / 10,the printed field axis is kilo-oersted; the three Tc values match the caption exactly and the currents track the curves to about thirty per cent
s10854-026-16566-9,4,withdrawn,no scale reconciles the values,all twelve of this paper's records are held down from 11.0 K and its values contradict the printed curves; no single scale reconciles them
ceramint.2024.10.058,5,withdrawn,no scale reconciles the values,the deposited sample ranking is close to reversed against the paper's own Fig. 4
matpr.2019.05.078,4,withdrawn,no scale reconciles the values,"the critical field is recorded from a critical-current-versus-field figure, and the deposited values do not follow the printed curves"
phpro.2015.06.160,2,withdrawn,no scale reconciles the values,"the anchor is 9.0 T, exactly the maximum field the paper's own figure states, while the same file records 26 T at 18.9 K from the body text"
physc.2011.05.018,2,withdrawn,no scale reconciles the values,the paper has no critical-current-versus-field figure at all
s41598-025-95932-9,1,withdrawn,no scale reconciles the values,the paper's only critical-current figure is a self-field measurement and the extraction supplies field-dependent series
jpcs.2026.113652,4,withdrawn,no scale reconciles the values,"analysis/apply_unit_repairs.py rejects this paper for the unit route and says so in its own words: the recorded values are not the printed ones in any unit, and the rescale x0.01 on file is a guess. audit/flagged_source_reading.csv adds that the extracted Co0 panel does not exist in the source, whose panels are Co1, Co2 and Co3. A guessed decade on four rows is not a repair"
physc.2010.05.048,1,withdrawn,no scale reconciles the values,"analysis/apply_unit_repairs.py rejects the field-tenth route for this paper explicitly: the axis is kilo-oersted but the recorded series has the wrong shape as well, running smoothly from 1e6 to 2.6e5 where the printed curve starts near 5e5 and is flat around 2e5 with a fishtail, so dividing the field by ten would leave a wrong curve"
physc.2009.11.051,2,withdrawn,no scale reconciles the values,"audit/full_repo_sweep_20260903.md plans this paper as withdrawn and re-extracted rather than rescaled, it is on the still-to-trace list in audit/reclamation_status_20260904.md, and its field-axis fits were withdrawn on 2026-09-05 because the paper contains no critical-field figure at all"
mtphys.2022.100783 (polycrystal),1,withdrawn,"one record of two, the other is kept as weak",the polycrystal record is 13 to 69 times above the traced Fig. 6(b) and is the single-crystal record shifted by a constant
