table,paper,sample,quantity,old,new,action,reason,source,fits_touched
cohortB,elsevier_10.1016_j.cjph.2024.09.042,FeSe,Tc_K_anchor [FeSe],14.0,10.0,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,3
cohortB,elsevier_10.1016_j.cjph.2024.09.042,H_x-FeSe 1#,Tc_K_anchor [H_x-FeSe 1#],14.0,41.0,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,3
cohortB,elsevier_10.1016_j.cjph.2024.09.042,H_x-FeSe 2#,Tc_K_anchor [H_x-FeSe 2#],14.0,41.0,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.jallcom.2013.04.183,N1,Tc_K_anchor [N1],110.0,74.38,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,2
cohortB,elsevier_10.1016_j.jallcom.2013.04.183,N2,Tc_K_anchor [N2],110.0,64.11,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,2
cohortB,elsevier_10.1016_j.jallcom.2013.04.183,N3,Tc_K_anchor [N3],110.0,66.0,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,2
cohortB,elsevier_10.1016_j.jallcom.2013.04.183,N4,Tc_K_anchor [N4],110.0,74.18,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,2
cohortB,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO_2K,Tc_K_anchor [LaFeAsO_2K],26.0,13.3,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO_5K,Tc_K_anchor [LaFeAsO_5K],26.0,13.3,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO_8K,Tc_K_anchor [LaFeAsO_8K],26.0,13.3,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.matchemphys.2023.128348,X01,Tc_K_anchor [X01],39.0,37.7,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.matchemphys.2023.128348,X02,Tc_K_anchor [X02],39.0,37.7,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.matchemphys.2023.128348,X03,Tc_K_anchor [X03],39.0,37.7,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
cohortB,elsevier_10.1016_j.matchemphys.2023.128348,X04,Tc_K_anchor [X04],39.0,37.7,corrected,the value the paper prints for this sample,analysis/cohortB_tc_anchor_check.py,1
