file,route,verdict,tier,n_points,n_series,round_fraction,signatures,detail
springer_10.1038_s41598-025-24806-x_VISION_PASS_LONG.csv,vision,FAIL,B,15,3,0.9333,arithmetic grid_quantized shifted_series,shifted_series: single_crystal/Vision-pass first-/T=5.07 = single_crystal/Vision-pass first-/T=6.86 +20000 | arithmetic: single_crystal/Vision-pass first-/T=5.07 step -20000 over 5 pts | grid_quantized: single_crystal/Vision-pass first-/T=5.07 all multiples of 20000 (25% of range) | arithmetic: single_crystal/Vision-pass first-/T=6.86 step -20000 over 5 pts | grid_quantized: single_crystal/Vision-pass first-/T=6.86 all multiples of 20000 (25% of range) | arithmetic: single_crystal/Vision-pass first-/T=5.0 step -10000 over 5 pts | grid_quantized: single_crystal/Vision-pass first-/T=5.0 all multiples of 10000 (25% of range)
elsevier_10.1016_j.physc.2009.03.048_PATH_AC_VISION_PASS_LONG.csv,vision,FAIL,B,15,3,0.7333,arithmetic grid_quantized,arithmetic: single_crystal/Path AC Substep C /T=2.0 step -10000 over 5 pts | grid_quantized: single_crystal/Path AC Substep C /T=2.0 all multiples of 10000 (25% of range)
elsevier_10.1016_j.mtphys.2022.100783_VISION_PASS_LONG.csv,vision,FAIL,A,100,20,0.6800,duplicate_series shifted_series,duplicate_series: polycrystal/Vision-pass first-/T=10.0 == single_crystal/Vision-pass first-/T=10.0 | duplicate_series: polycrystal/Vision-pass first-/T=12.0 == single_crystal/Vision-pass first-/T=12.0 | duplicate_series: polycrystal/Vision-pass first-/T=14.0 == single_crystal/Vision-pass first-/T=14.0 | duplicate_series: polycrystal/Vision-pass first-/T=16.0 == single_crystal/Vision-pass first-/T=16.0 | duplicate_series: polycrystal/Vision-pass first-/T=21.0 == single_crystal/Vision-pass first-/T=21.0 | shifted_series: polycrystal/Vision-pass first-/T=4.2 = polycrystal/Vision-pass first-/T=6.0 +50000 | shifted_series: polycrystal/Vision-pass first-/T=4.2 = polycrystal/Vision-pass first-/T=8.0 +100000 | shifted_series: polycrystal/Vision-pass first-/T=4.2 = single_crystal/Vision-pass first-/T=4.2 -100000 | duplicate_series: polycrystal/Vision-pass first-/T=4.2 == single_crystal/Vision-pass first-/T=6.0 | shifted_series: polycrystal/Vision-pass first-/T=4.2 = single_crystal/Vision-pass first-/T=8.0 +100000 | shifted_series: polycrystal/Vision-pass first-/T=6.0 = polycrystal/Vision-pass first-/T=8.0 +50000 | shifted_series: polycrystal/Vision-pass first-/T=6.0 = single_crystal/Vision-pass first-/T=4.2 -150000 | shifted_series: polycrystal/Vision-pass first-/T=6.0 = single_crystal/Vision-pass first-/T=6.0 -50000 | shifted_series: polycrystal/Vision-pass first-/T=6.0 = single_crystal/Vision-pass first-/T=8.0 +50000 | shifted_series: polycrystal/Vision-pass first-/T=8.0 = single_crystal/Vision-pass first-/T=4.2 -200000 | shifted_series: polycrystal/Vision-pass first-/T=8.0 = single_crystal/Vision-pass first-/T=6.0 -100000 | duplicate_series: polycrystal/Vision-pass first-/T=8.0 == single_crystal/Vision-pass first-/T=8.0 | shifted_series: single_crystal/Vision-pass first-/T=4.2 = single_crystal/Vision-pass first-/T=6.0 +100000 | shifted_series: single_crystal/Vision-pass first-/T=4.2 = single_crystal/Vision-pass first-/T=8.0 +200000 | shifted_series: single_crystal/Vision-pass first-/T=6.0 = single_crystal/Vision-pass first-/T=8.0 +100000
springer_10.1007_s10854-026-16566-9_VISION_PASS_LONG.csv,vision,FAIL,B,72,12,0.6111,shifted_series,shifted_series: single_crystal/Vision-pass first-/T=5.0 = single_crystal/Vision-pass first-/T=7.0 +100000 | shifted_series: single_crystal/Vision-pass first-/T=10.0 = single_crystal/Vision-pass first-/T=5.0 -200000 | shifted_series: single_crystal/Vision-pass first-/T=10.0 = single_crystal/Vision-pass first-/T=7.0 -100000 | shifted_series: single_crystal/Vision-pass first-/T=5.0 = single_crystal/Vision-pass first-/T=7.0 +100000 | shifted_series: single_crystal/Vision-pass first-/T=5.0 = single_crystal/Vision-pass first-/T=7.0 +100000
elsevier_10.1016_j.jpcs.2026.113652_VISION_PASS_LONG.csv,vision,FAIL,B,36,6,0.5278,arithmetic grid_quantized shifted_series,shifted_series: bulk/Round 3 disambigua/T=5.0 = bulk/Round 3 disambigua/T=5.0 -500000 | arithmetic: bulk/Round 3 disambigua/T=5.0 step -500000 over 6 pts | grid_quantized: bulk/Round 3 disambigua/T=5.0 all multiples of 500000 (20% of range) | arithmetic: bulk/Round 3 disambigua/T=5.0 step -500000 over 6 pts | grid_quantized: bulk/Round 3 disambigua/T=5.0 all multiples of 500000 (20% of range) | arithmetic: bulk/Round 3 disambigua/T=50.0 step -200000 over 6 pts
springer_10.1038_s41598-025-95932-9_VISION_PASS_LONG.csv,vision,FAIL,B,60,6,0.3833,arithmetic shifted_series,shifted_series: thin_film/Track B Path G BSC/T=45.0 = thin_film/Track B Path G BSC/T=50.0 +300000 | shifted_series: thin_film/Track B Path G BSC/T=45.0 = thin_film/Track B Path G BSC/T=55.0 +600000 | shifted_series: thin_film/Track B Path G BSC/T=45.0 = thin_film/Track B Path G BSC/T=60.0 +900000 | shifted_series: thin_film/Track B Path G BSC/T=50.0 = thin_film/Track B Path G BSC/T=55.0 +300000 | shifted_series: thin_film/Track B Path G BSC/T=50.0 = thin_film/Track B Path G BSC/T=60.0 +600000 | shifted_series: thin_film/Track B Path G BSC/T=55.0 = thin_film/Track B Path G BSC/T=60.0 +300000 | arithmetic: thin_film/Track B Path G BSC/T=45.0 step -200000 over 10 pts | arithmetic: thin_film/Track B Path G BSC/T=50.0 step -200000 over 10 pts | arithmetic: thin_film/Track B Path G BSC/T=55.0 step -200000 over 10 pts | arithmetic: thin_film/Track B Path G BSC/T=60.0 step -200000 over 10 pts
elsevier_10.1016_j.physc.2009.11.051_VISION_PASS_LONG.csv,vision,FAIL,B,48,8,0.3542,arithmetic grid_quantized shifted_series,shifted_series: single_crystal/Round 3 disambigua/T=10.0 = single_crystal/Round 3 disambigua/T=15.0 +200000 | shifted_series: single_crystal/Round 3 disambigua/T=10.0 = single_crystal/Round 3 disambigua/T=20.0 +300000 | shifted_series: single_crystal/Round 3 disambigua/T=15.0 = single_crystal/Round 3 disambigua/T=20.0 +100000 | shifted_series: single_crystal/Round 3 disambigua/T=2.0 = single_crystal/Round 3 disambigua/T=2.0 +400000 | shifted_series: single_crystal/Round 3 disambigua/T=10.0 = single_crystal/Round 3 disambigua/T=15.0 +100000 | shifted_series: single_crystal/Round 3 disambigua/T=10.0 = single_crystal/Round 3 disambigua/T=20.0 +150000 | shifted_series: single_crystal/Round 3 disambigua/T=15.0 = single_crystal/Round 3 disambigua/T=20.0 +50000 | arithmetic: single_crystal/Round 3 disambigua/T=10.0 step -10000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=10.0 all multiples of 10000 (20% of range) | arithmetic: single_crystal/Round 3 disambigua/T=15.0 step -10000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=15.0 all multiples of 10000 (20% of range) | arithmetic: single_crystal/Round 3 disambigua/T=20.0 step -10000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=20.0 all multiples of 10000 (20% of range) | arithmetic: single_crystal/Round 3 disambigua/T=10.0 step -20000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=10.0 all multiples of 20000 (20% of range) | arithmetic: single_crystal/Round 3 disambigua/T=15.0 step -20000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=15.0 all multiples of 20000 (20% of range) | arithmetic: single_crystal/Round 3 disambigua/T=20.0 step -20000 over 6 pts | grid_quantized: single_crystal/Round 3 disambigua/T=20.0 all multiples of 20000 (20% of range)
elsevier_10.1016_j.physc.2009.03.028_VISION_PASS_LONG.csv,vision,FAIL,B,54,9,0.3148,shifted_series,shifted_series: single_crystal/Round 3 disambigua/T=8.4 = single_crystal/Round 3 disambigua/T=8.4 +50000
elsevier_10.1016_j.jallcom.2013.04.183_VISION_PASS_LONG.csv,vision,FAIL,B,56,8,0.3036,shifted_series,shifted_series: bulk/Round 3 disambigua/T=10.0 = bulk/Round 3 disambigua/T=10.0 -1000
elsevier_10.1016_j.physc.2011.05.018_VISION_PASS_LONG.csv,vision,FAIL,A,20,4,0.3000,arithmetic duplicate_series field_beyond_hc2 grid_quantized,duplicate_series: polycrystal/Vision-pass first-/T=2.0 == polycrystal/Vision-pass first-/T=5.0 | arithmetic: polycrystal/Vision-pass first-/T=2.0 step -5000 over 5 pts | grid_quantized: polycrystal/Vision-pass first-/T=2.0 all multiples of 5000 (25% of range) | arithmetic: polycrystal/Vision-pass first-/T=5.0 step -2000 over 5 pts | grid_quantized: polycrystal/Vision-pass first-/T=5.0 all multiples of 2000 (25% of range) | arithmetic: polycrystal/Vision-pass first-/T=2.0 step -2000 over 5 pts | grid_quantized: polycrystal/Vision-pass first-/T=2.0 all multiples of 2000 (25% of range) | arithmetic: polycrystal/Vision-pass first-/T=5.0 step -1000 over 5 pts | grid_quantized: polycrystal/Vision-pass first-/T=5.0 all multiples of 1000 (25% of range) | field_beyond_hc2: max H 50 T exceeds recorded Hc2 47 T
