paper,screen_verdict,pdf_on_hand,figure_read,printed_field_axis,printed_current_axis,temperatures_printed,paper_stated_maximum,extraction_verdict,defect
10.1016_j.phpro.2015.06.160,CHECK,yes,Fig. 3 (left and right),"mu0H, T","Jc, A/cm2",left 15/13/10/7/4.2/1.46 K; right 18/16/15/10/4.2/1.4 K,3.9e5 A/cm2 (Ni-doped) and 2.3e5 (K-doped) at zero field at 4.2 K,series defective; one anchor sound,"series run 1.5x to 77x above their own curves; points at 8 and 10 T are supplied for curves that terminate at 3.3 and 8 T; 18 K is given a higher Jc than 16 K; the 16 K anchor of 6e5 is 20x its curve and above the whole right panel. The 7 K anchor of 3e5 against a curve reading about 2e5 is ordinary digitisation error. RETRACTED from the first pass: the Tier 1 Hc2 of 9.0 T at 17.7 K is NOT a caption harvest; the paper gives dHc2/dT about -2.04 T/K near Tc, and 9.0 T at 17.7 K is a legitimate evaluation of the paper's own slope. The paper also states Hc2(0) about 26 T and 31 T. The first pass also said 1.0e6 was 25x the paper's stated maximum; it is 2.6x the stated 3.9e5 and 77x the 15 K curve"
10.1016_j.matchemphys.2023.128348,CHECK,yes,Fig. 5,"Magnetic Field H, T","Jc, kA/cm2",20 K,self-field Jc 71.2 / 83.7 / 144.6 / 155.5 kA/cm2 for X01-X04,sound but imprecise,"X04 self-field exact at 155500; X03 off 7%, X01 off 24%, X02 off 40%; ordering and temperature correct; Hirr 3 T at 20 K is genuinely supported by the paper's own Jc=100 A/cm2 criterion; Tc recorded 39.0 K is the literature value, the paper reports 37.7 K"
10.1016_j.matpr.2019.05.078,CHECK,yes,Fig. 2(a),"mu0H, G (gauss)","Jc paral, A/cm2","5 K and 20 K, mono and multi",figure maximum about 2000 A/cm2,fabricated,"extraction reports 1.0e6 down to 7e3, about 500x the plotted maximum; mono ranked above multi where the figure has multi above mono; the paper measures and states no upper critical field anywhere, yet Hc2 2.5 T is recorded as a Tier 1 direct match"
10.1016_j.cjph.2024.09.042,CHECK,yes,Fig. 4(a)-(d),"H, T","Jc, A/cm2",4.5 to 30 K,1.2e6 A/cm2 at 4.5 K zero field for Hx-FeSe,consistent,real tesla-axis data over 0-7 T; contributes no anchor rows and no passing field-axis fits; extraction CSV is not in the corpus so values were not graded
10.1016_j.jpcs.2026.113652,FAIL,yes,Figure (9)(a)-(c),"H, Oe (0 to 5000)","Jc, A/m2",5/10/20/50 K,panel maxima 4e8 A/m2 = 4e4 A/cm2,already diagnosed; scale repair unapplied,"NOT a new finding: audit/full_repo_sweep_20260903.md already records the disposition 'rescaled x0.01, not applied' for this paper. New only in the reason: the printed current axis is A/m2, so the factor is exactly the A/m2 to A/cm2 conversion. What is new and stands: 12 rows sit at 1.0-6.5 T for a figure whose field axis stops at 5000 Oe = 0.5 T, and a Co0 panel is extracted though the printed panels are Co1, Co2, Co3"
10.1016_j.jallcom.2013.04.183,FAIL,yes,Fig. 8,"H, T (0.25 to 1.75)","Jc, 1e4 A/cm2",10 K only,N1 9.4e4 down to 3.4e4 A/cm2,scale repair unapplied; part of the record has no figure,"DOWNGRADED from fabricated. The extraction is systematically about 10x low, which audit/repair_plan.csv and audit/full_repo_sweep_20260903.md already record as 'rescaled x10, not applied'. With that repair the values land within 12 to 30 per cent of Fig. 8. What survives: 28 of 56 rows are a 25 K Jc-versus-H figure the paper never printed, the H=0 anchor sits outside the plotted axis which starts at 0.25 T, Tc is recorded 110 K against Table 1's 64.11 to 74.38 K, and N1 and N4 are swapped"
10.1016_j.ceramint.2024.10.058,FAIL,yes,Fig. 4,"mu0H, T (0.1 to 5)","Jc, A/cm2",5 K,Nitrogen-2 2050 down to 320 A/cm2; Nitrogen-1 130 down to 40,fabricated,"at 0.5 T the figure reads Nitrogen-2 1200, Vac-2 1100, LSCO-CS 480, Vac-1 450, Nitrogen-1 125 A/cm2; the anchors are 2100, 1200, 1900, 1600, 2200. Nitrogen-1, the paper's lowest curve, is recorded as the highest, and the ranking is close to reversed. audit/reextraction_input_triage.csv also records that no measurement temperature appears anywhere on the figure, so the 5 K label is inferred"
10.1016_j.physc.2016.05.023,FAIL,yes,Fig. 3(a) and (b),"H, kOe (0.1 to 50)","Jc, A/cm2",2/2.5/3/3.5/4/5/6/7/8 K,4e4 A/cm2 self-field at 2 K rising to 6e4 after S doping,kilo-oersted axis,the printed field axis is kilo-oersted; extraction CSV is not in the corpus so the conversion could not be checked; all ten fits are already bounded out by the applicability criterion
10.1007_s10854-026-16566-9,FAIL,yes,Fig. 9(a)-(d),"H, T (0 to 5)","Jc, A/cm2",5/7/10 K,1.1e6 A/cm2 maximum for the 3% sample at 5 K,fabricated,"MECHANISM CORRECTED from the first pass: the series are not a copy of panel (d). Each of the four exceeds its own panel at 5 K and 0.5 T, by 33x (x=0%), 21x (1%), 6x (2%) and 2.6x (3%), compressing a 27-fold spread across substitution into a 2.1-fold one. The 3% series at 2.1e6 is about double the paper's stated 1.1e6 maximum"
10.1038_s41598-025-95932-9,FAIL,yes,Fig. 4(b),"Magnetic field, T (0 to 1)","Critical current density, MA/cm2",45/50/55/60/65/70 K,Jc sf(0) about 8.1 MA/cm2; Jc sf(6 K) = 5.1 MA/cm2 in sample B,"bad digitisation, not fabrication","RETRACTED from the first pass, which claimed the paper's only critical-current figure is a self-field measurement. Fig. 4(b) is a Jc-versus-field figure over 0 to 1 T with six series at 45 to 70 K, and audit/reextraction_input_triage.csv had already opened p5 and recorded it. The axes and temperatures in the extraction are right. What is wrong: the 0.1 T values run 1.5x to 50x above the panel, the extraction's uniform -300000 ladder replaces a 60-fold fan-out between 45 K and 70 K, the 45 K point of 3.0e6 exceeds the panel's 2.2e6 maximum, and the record is attributed to sample A though panel (b) is sample B"
10.1038_s41598-025-24806-x,FAIL,no,not read,,,,,unread,PDF is not in the corpus; carries 2 anchor rows and no field-axis fits
10.1016_j.mtphys.2022.100783,FAIL,yes,Fig. 6,"mu0H, T","Jc, A/cm2",,,established earlier,the polycrystal record is a copy of the single-crystal record displaced by one rung; 30 of 40 shared points identical
10.1016_j.physc.2011.05.018,FAIL,yes,none,,,,,established earlier,the paper contains no critical-current-versus-field figure at all
10.1016_j.physc.2009.11.051,FAIL,yes,,kOe,,,,established earlier,"field axis is kilo-oersted, recorded as tesla"
10.1016_j.physc.2010.05.048,CHECK,yes,,kOe,,,,established earlier,competent read of a real figure whose field unit is wrong
