identifier,citation,source_file,withdrawn,reason,row
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_p31_jc_anchor_per_paper.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",paper_id=elsevier_10.1016_j.physc.2010.03.003; sample_form=single_crystal; sample_id=FeTe0.61Se0.39; compound_formula=FeTe0.61Se0.39; substructure=iron_chalcogenide_11; Tc_K=14.0; Hc2_T=47.0; T_anchor_K=2.0; H_anchor_T=0.5; Jc_anchor_A_per_cm2=3162277.6; log10_Jc_anchor=6.499999991736717; n_data_points=25; mean_chi=2.2755; max_chi=2.55; var_chi=0.0481747499999999; ionic_fraction=0.0493649081413014
10.1016/j.physb.2025.417755,"Miglani and Varma, Physica B 716 (2025) 417755",data/phase_3_p31_jc_anchor_per_paper.csv,2026-09-01,"the anchor records 2.0e6 A/cm2 at 2 K and self field for the as-grown crystal, where the paper states that the self-field Jc at 2 K for the as-grown sample is 1.4e5 A/cm2, a factor of 14. No internal signature fires on the five point series, so the alternative was to replace the anchor with the value the paper prints at exactly this condition, which is reading the paper rather than assuming a rescale. That was the recommended option and it was not taken. It is recorded here because the choice has a consequence: substituting 1.4e5 moves the iron chalcogenide ratio to 0.5793 and its pre-registered outcome from A to B, whereas withdrawal leaves it at 0.7687 and in A. A reader should be able to see that the option which preserves the pre-registered outcome is the one taken, and decide for themselves",paper_id=elsevier_10.1016_j.physb.2025.417755; sample_form=single_crystal; sample_id=As-grown; compound_formula=FeTe0.62Se0.38; substructure=iron_chalcogenide_11; Tc_K=14.0; Hc2_T=47.0; T_anchor_K=2.0; H_anchor_T=0.0; Jc_anchor_A_per_cm2=2000000.0; log10_Jc_anchor=6.301029995663981; n_data_points=5
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/provenance_table_fitcohort_full.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",identifier=10.1016/j.physc.2010.03.003; compound=FeTe0.61Se0.39; substructure_family=iron_chalcogenide_11; sample_form=single_crystal; Tc_anchor_K=14.0; Tc_provenance=paper-reported (Cohort B extraction); Hc2_anchor_T=53.3; Hc2_provenance=Tier_1_extrapolated_to_low_T_anchor_10.0K; n_Jc_points=28; contribution_flag=Cohort A+B (non-fittable compound)
10.1016/j.physb.2025.417755,"Miglani and Varma, Physica B 716 (2025) 417755",data/provenance_table_fitcohort_full.csv,2026-09-01,"the anchor records 2.0e6 A/cm2 at 2 K and self field for the as-grown crystal, where the paper states that the self-field Jc at 2 K for the as-grown sample is 1.4e5 A/cm2, a factor of 14. No internal signature fires on the five point series, so the alternative was to replace the anchor with the value the paper prints at exactly this condition, which is reading the paper rather than assuming a rescale. That was the recommended option and it was not taken. It is recorded here because the choice has a consequence: substituting 1.4e5 moves the iron chalcogenide ratio to 0.5793 and its pre-registered outcome from A to B, whereas withdrawal leaves it at 0.7687 and in A. A reader should be able to see that the option which preserves the pre-registered outcome is the one taken, and decide for themselves",identifier=10.1016/j.physb.2025.417755; compound=FeSeTe; substructure_family=iron_chalcogenide_11; sample_form=single_crystal; Tc_anchor_K=14.5; Tc_provenance=paper-reported (v3.2.1 / Cohort A vision pass); Hc2_provenance=literature catalog (substructure reference; no per-paper extraction); n_Jc_points=80; contribution_flag=Cohort A only (β_T partial)
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_form3_fits_partial_cohortB_v2.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",cohort=B; arxiv_id=elsevier_10.1016_j.physc.2010.03.003; compound_formula=FeTe0.61Se0.39; sample_form=single_crystal; sample_identifier=FeTe0.61Se0.39; Tc_K_anchor=14.0; Hc2_T_used=53.3; Hc2_T_default=47.0; Hc2_source=Tier_1_extrapolated_to_low_T_anchor_10.0K; n_pts=5; n_distinct=5; H_axis_range_normalized=0.928705440900563; fixed_axis=T; fixed_axis_value=2.0; beta=1.3232949582810973; SE_beta=0.501580977786515; log_Jc_partial=5.94292167222609; SE_log_Jc_partial=0.2799719763118083; rms=0.38806835531198874; ok=True; physicality=ok
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_form3_fits_partial_cohortB_v2.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",cohort=B; arxiv_id=elsevier_10.1016_j.physc.2010.03.003; compound_formula=FeTe0.61Se0.39; sample_form=single_crystal; sample_identifier=FeTe0.61Se0.39; Tc_K_anchor=14.0; Hc2_T_used=53.3; Hc2_T_default=47.0; Hc2_source=Tier_1_extrapolated_to_low_T_anchor_10.0K; n_pts=5; n_distinct=5; H_axis_range_normalized=0.928705440900563; fixed_axis=T; fixed_axis_value=5.0; beta=1.3232950861481432; SE_beta=0.501581073192062; log_Jc_partial=5.69292159839486; SE_log_Jc_partial=0.2799720305329245; rms=0.3880684357100242; ok=True; physicality=ok
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_form3_fits_partial_cohortB_v2.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",cohort=B; arxiv_id=elsevier_10.1016_j.physc.2010.03.003; compound_formula=FeTe0.61Se0.39; sample_form=single_crystal; sample_identifier=FeTe0.61Se0.39; Tc_K_anchor=14.0; Hc2_T_used=53.3; Hc2_T_default=47.0; Hc2_source=Tier_1_extrapolated_to_low_T_anchor_10.0K; n_pts=5; n_distinct=5; H_axis_range_normalized=0.928705440900563; fixed_axis=T; fixed_axis_value=7.5; beta=1.2936506892553439; SE_beta=0.4782742191551667; log_Jc_partial=5.612999064359406; SE_log_Jc_partial=0.2669626287198137; rms=0.37003613800908425; ok=True; physicality=ok
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_form3_fits_partial_cohortB_v2.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",cohort=B; arxiv_id=elsevier_10.1016_j.physc.2010.03.003; compound_formula=FeTe0.61Se0.39; sample_form=single_crystal; sample_identifier=FeTe0.61Se0.39; Tc_K_anchor=14.0; Hc2_T_used=53.3; Hc2_T_default=47.0; Hc2_source=Tier_1_direct_match_at_10.0K_term_Hc2; n_pts=5; n_distinct=5; H_axis_range_normalized=0.928705440900563; fixed_axis=T; fixed_axis_value=10.0; beta=1.306724183385342; SE_beta=0.48308036178453484; log_Jc_partial=5.5273754312763135; SE_log_Jc_partial=0.26964531948640436; rms=0.3737546028685816; ok=True; physicality=ok
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_form3_fits_partial_cohortB_v2.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",cohort=B; arxiv_id=elsevier_10.1016_j.physc.2010.03.003; compound_formula=FeTe0.61Se0.39; sample_form=single_crystal; sample_identifier=FeTe0.61Se0.39; Tc_K_anchor=14.0; Hc2_T_used=54.0; Hc2_T_default=47.0; Hc2_source=Tier_1_direct_match_at_12.3K_term_Hc2; n_pts=5; n_distinct=5; H_axis_range_normalized=0.9166666666666666; fixed_axis=T; fixed_axis_value=12.5; beta=1.428727867198564; SE_beta=0.5287673841229227; log_Jc_partial=4.453735028219738; SE_log_Jc_partial=0.27701789837028423; rms=0.3816015807871805; ok=True; physicality=ok
10.1016/j.physc.2010.03.003,"Taen et al., Physica C 470 (2010) S391",data/phase_3_p57_de_novo_predictions.csv,2026-09-01,"the 25 recorded values are a log ladder. Three of the five isotherms fall by exactly 0.5000 dex per point across field intervals of 4.5, 10, 10 and 25 T, so the factor between consecutive points does not depend on how far the field moved. That is not a reading of a curve. The recorded field range also runs to 50 T against the record's own Hc2 of 47 T. The linear arithmetic screen did not see this because a Jc(H) figure is drawn on a log axis; analysis/audit_extraction_integrity.py now carries a log_ladder signature, which fires on this file and on no other in the corpus",compound_formula=FeTe0.61Se0.39; substructure=iron_chalcogenide_11; paper_id=elsevier_10.1016_j.physc.2010.03.003_VISION_PASS_LONG; source_provenance=A2; Tc_anchor_K=14.0; Tc_provenance_tier=extraction_csv; Hc2_T_anchor=47.0; Hc2_anchor_type=exact; Hc2_source=S1_v3_2_2B_extension; sample_form_commitment=single_crystal; predictor_method_scope=sample_form_conditional_median:single_crystal; T_K=4.2; H_T=0.1; predicted_log_Jc=5.996159972950191; predicted_log_Jc_lower_95=5.877146982269887; predicted_log_Jc_upper_95=6.121613313756543; bootstrap_iterations=5000
